,Gm.,Date,Var.3,Tm,Var.5,Opp,W.L,R,RA,Inn,W.L.1,Rank,GB,Win,Loss,Save,Time,D.N,Attendance,Streak,Orig..Scheduled,Year
1,1,"Thursday, Apr 5",boxscore,BOS,@,DET,L-wo,2,3,,0-1,5,1,Valverde,Melancon,,3:07,D,45027,-,,2012
2,2,"Saturday, Apr 7",boxscore,BOS,@,DET,L,0,10,,0-2,4,2,Below,Beckett,,2:53,D,44710,--,,2012
3,3,"Sunday, Apr 8",boxscore,BOS,@,DET,L-wo,12,13,11,0-3,4,3,Below,Melancon,,4:45,D,30788,---,,2012
4,4,"Monday, Apr 9",boxscore,BOS,@,TOR,W,4,2,,3-Jan,4,2.5,Atchison,Santos,Aceves,3:02,N,48473,+,,2012
5,5,"Tuesday, Apr 10",boxscore,BOS,@,TOR,L,3,7,,4-Jan,5,2.5,Drabek,Bard,,3:19,N,26351,-,,2012
6,6,"Wednesday, Apr 11",boxscore,BOS,@,TOR,L,1,3,,5-Jan,5,3.5,Romero,Lester,Santos,2:13,D,25285,--,,2012
7,7,"Friday, Apr 13",boxscore,BOS,,TBR,W,12,2,,5-Feb,5,2,Beckett,Price,,3:19,D,37032,+,,2012
8,8,"Saturday, Apr 14",boxscore,BOS,,TBR,W,13,5,,5-Mar,5,2,Buchholz,Badenhop,,3:18,D,38024,++,,2012
9,9,"Sunday, Apr 15",boxscore,BOS,,TBR,W,6,4,,5-Apr,4,1,Padilla,Moore,Aceves,3:12,D,38024,+++,,2012
10,10,"Monday, Apr 16",boxscore,BOS,,TBR,L,0,1,,6-Apr,5,2,Shields,Bard,Rodney,3:08,D,38108,-,,2012
11,11,"Tuesday, Apr 17",boxscore,BOS,,TEX,L,3,18,,7-Apr,5,3,Lewis,Lester,,3:25,N,38229,--,,2012
12,12,"Wednesday, Apr 18",boxscore,BOS,,TEX,L,3,6,,8-Apr,5,3,Holland,Beckett,,3:03,N,37967,---,,2012
13,13,"Friday, Apr 20",boxscore,BOS,,NYY,L,2,6,,9-Apr,5,3.5,Nova,Buchholz,,3:18,D,36770,----,,2012
14,14,"Saturday, Apr 21",boxscore,BOS,,NYY,L,9,15,,10-Apr,5,4.5,Soriano,Aceves,,3:52,D,37839,-----,,2012
15,15,"Monday, Apr 23",boxscore,BOS,@,MIN,W,6,5,,10-May,5,4.5,Bard,Capps,Aceves,3:12,N,32351,+,,2012
16,16,"Tuesday, Apr 24",boxscore,BOS,@,MIN,W,11,2,,10-Jun,5,3.5,Beckett,Blackburn,,3:03,N,33651,++,,2012
17,17,"Wednesday, Apr 25",boxscore,BOS,@,MIN,W,7,6,,10-Jul,5,3.5,Buchholz,Hendriks,Aceves,3:32,N,32254,+++,,2012
18,18,"Thursday, Apr 26",boxscore,BOS,@,CHW,W,10,3,,10-Aug,5,3.5,Doubront,Humber,Tazawa,3:03,N,20266,++++,,2012
19,19,"Friday, Apr 27",boxscore,BOS,@,CHW,W,10,3,,10-Sep,5,3.5,Bard,Danks,,2:47,N,20414,+++++,,2012
20,20,"Saturday, Apr 28",boxscore,BOS,@,CHW,W,1,0,,10-Oct,5,2.5,Lester,Peavy,Aceves,2:44,N,20057,++++++,,2012
21,21,"Sunday, Apr 29",boxscore,BOS,@,CHW,L,1,4,,11-Oct,5,3.5,Floyd,Beckett,Thornton,2:58,D,22811,-,,2012
22,22,"Monday, Apr 30",boxscore,BOS,,OAK,W,11,6,,11-Nov,5,3.5,Buchholz,Milone,,3:23,N,37359,+,,2012
23,Gm#,May,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled,2012
24,23,"Tuesday, May 1",boxscore,BOS,,OAK,L,3,5,,12-Nov,5,4.5,Parker,Doubront,Norberto,3:31,N,37225,-,,2012
25,24,"Wednesday, May 2",boxscore,BOS,,OAK,L,2,4,,13-Nov,5,5.5,McCarthy,Bard,Fuentes,3:22,N,37434,--,,2012
26,25,"Friday, May 4",boxscore,BOS,,BAL,L,4,6,13,14-Nov,5,7,Patton,Morales,Johnson,4:37,N,37223,---,,2012
27,26,"Saturday, May 5",boxscore,BOS,,BAL,L,2,8,,15-Nov,5,7,Hammel,Cook,,2:56,D,37581,----,,2012
28,27,"Sunday, May 6",boxscore,BOS,,BAL,L,6,9,17,16-Nov,5,7.5,Davis,McDonald,,6:07,D,37394,-----,,2012
29,28,"Monday, May 7",boxscore,BOS,@,KCR,W,11,5,,16-Dec,5,6.5,Doubront,Sanchez,Padilla,3:11,N,19502,+,,2012
30,29,"Tuesday, May 8",boxscore,BOS,@,KCR,L,4,6,,17-Dec,5,6.5,Mijares,Bard,Broxton,2:52,N,20524,-,,2012
31,30,"Wednesday, May 9",boxscore,BOS,@,KCR,L,3,4,,18-Dec,5,7.5,Chen,Lester,Broxton,2:55,N,18339,--,,2012
32,31,"Thursday, May 10",boxscore,BOS,,CLE,L,3,8,,19-Dec,5,7.5,Lowe,Beckett,,3:11,N,37348,---,,2012
33,32,"Friday, May 11",boxscore,BOS,,CLE,W,7,5,,13-19,5,7.5,Buchholz,Jimenez,Aceves,3:57,N,37438,+,,2012
34,33,"Saturday, May 12",boxscore,BOS,,CLE,W,4,1,,14-19,5,7.5,Doubront,McAllister,Aceves,2:30,N,38048,++,,2012
35,34,"Sunday, May 13",boxscore,BOS,,CLE,W,12,1,,15-19,5,6.5,Bard,Masterson,,2:37,D,37611,+++,,2012
36,35,"Monday, May 14",boxscore,BOS,,SEA,W,6,1,,16-19,5,5.5,Lester,Vargas,,2:25,N,37334,++++,,2012
37,36,"Tuesday, May 15",boxscore,BOS,,SEA,W,5,0,,17-19,5,5.5,Beckett,Beavan,,2:53,D,37292,+++++,,2012
38,37,"Wednesday, May 16",boxscore,BOS,@,TBR,L,1,2,,17-20,5,6.5,Hellickson,Buchholz,Rodney,3:29,N,20843,-,,2012
39,38,"Thursday, May 17",boxscore,BOS,@,TBR,W,5,3,,18-20,5,6.5,Doubront,Moore,Aceves,3:16,N,19842,+,,2012
40,39,"Friday, May 18",boxscore,BOS,@,PHI,L,4,6,,18-21,5,7.5,Hamels,Bard,Papelbon,2:50,N,45205,-,,2012
41,40,"Saturday, May 19",boxscore,BOS,@,PHI,W,7,5,,19-21,5,7.5,Lester,Blanton,Aceves,3:11,N,45656,+,,2012
42,41,"Sunday, May 20",boxscore,BOS,@,PHI,W,5,1,,20-21,5,6.5,Beckett,Lee,,2:46,D,45586,++,,2012
43,42,"Monday, May 21",boxscore,BOS,@,BAL,W,8,6,,21-21,4,5.5,Miller,Gregg,Aceves,3:16,N,16392,+++,,2012
44,43,"Tuesday, May 22",boxscore,BOS,@,BAL,L,1,4,,21-22,5,6.5,Matusz,Doubront,Johnson,2:57,N,25171,-,,2012
45,44,"Wednesday, May 23",boxscore,BOS,@,BAL,W,6,5,,22-22,5,5.5,Bard,Arrieta,Aceves,3:28,D,27806,+,,2012
46,45,"Friday, May 25",boxscore,BOS,,TBR,L,4,7,,22-23,5,6.5,Cobb,Lester,Rodney,3:25,N,37594,-,,2012
47,46,"Saturday, May 26",boxscore,BOS,,TBR,W-wo,3,2,,23-23,5,5.5,Hill,Rodney,,3:00,N,38099,+,,2012
48,47,"Sunday, May 27",boxscore,BOS,,TBR,L,3,4,,23-24,5,5.5,McGee,Aceves,Rodney,3:22,D,37844,-,,2012
49,48,"Monday, May 28",boxscore,BOS,,DET,W,7,4,,24-24,5,4.5,Doubront,Fister,,2:37,D,37921,+,,2012
50,49,"Tuesday, May 29",boxscore,BOS,,DET,W,6,3,,25-24,5,3.5,Bard,Verlander,Aceves,3:15,N,37216,++,,2012
