,date,attendance,host
1,201301010,19155,DEN
2,201301010,12175,DET
3,201301010,18997,LAL
4,201301010,12712,NOH
5,201301010,19033,NYK
6,201301010,14456,WAS
7,201301020,18624,BOS
8,201301020,12331,CLE
9,201301020,19596,GSW
10,201301020,18198,HOU
11,201301020,11182,IND
12,201301020,20102,MIA
13,201301020,15084,MIL
14,201301020,18203,OKC
15,201301020,18846,ORL
16,201301020,16034,PHO
17,201301020,18117,TOR
18,201301020,19120,UTA
19,201301030,16921,DEN
20,201301030,19033,NYK
21,201301040,18624,BOS
22,201301040,15576,CHA
23,201301040,14832,DET
24,201301040,20179,LAC
25,201301040,15823,MEM
26,201301040,20138,MIA
27,201301040,15867,MIL
28,201301040,18203,OKC
29,201301040,14874,PHO
30,201301040,17824,TOR
31,201301040,16006,WAS
32,201301050,19159,ATL
33,201301050,17732,BRK
34,201301050,16866,CLE
35,201301050,20338,DAL
36,201301050,19155,DEN
37,201301050,15329,IND
38,201301050,19323,LAC
39,201301050,16220,MIN
40,201301050,19171,ORL
41,201301050,18581,SAS
42,201301060,11963,DET
43,201301060,18997,LAL
44,201301060,20228,MIA
45,201301060,13197,PHO
46,201301060,17634,TOR
47,201301070,21355,CHI
48,201301070,11599,NOH
49,201301070,19033,NYK
50,201301070,19560,POR
51,201301070,11531,SAC
52,201301070,18600,UTA
53,201301070,16917,WAS
54,201301080,18135,HOU
55,201301080,18165,IND
56,201301080,13014,MIL
57,201301080,15988,MIN
58,201301080,16167,PHI
59,201301090,18624,BOS
60,201301090,13347,CHA
61,201301090,21570,CHI
62,201301090,13149,CLE
63,201301090,15084,DEN
64,201301090,19596,GSW
65,201301090,19362,LAC
66,201301090,11453,NOH
67,201301090,18203,OKC
68,201301090,18581,SAS
69,201301090,15629,TOR
70,201301100,16568,IND
71,201301100,20536,POR
72,201301100,14011,SAC
73,201301110,12064,ATL
74,201301110,18624,BOS
75,201301110,16272,BRK
76,201301110,16445,DEN
77,201301110,19596,GSW
78,201301110,18997,LAL
79,201301110,17685,MEM
